SET 1,SET 2,SET 3,SET 4,SET 5,Jogadora,Time,Partida,Vencedor,Serviço Err,Serviço Ace,Recepção Tot,Recepção Err,Ataque Exc.,Ataque Err,Ataque Blk,Bloqueio Pts,Fase,Cat,Jogo,VV
*,,*,*,,VITORIA TRINDADE (L),BRASÍLIA VÔLEI,UNILIFE-MARINGA x BRASÍLIA VÔLEI,UNILIFE-MARINGA,,,,,,,,,classificatoria,returno,71,0
3,4,3,4,,SARA DIAS,BRASÍLIA VÔLEI,UNILIFE-MARINGA x BRASÍLIA VÔLEI,UNILIFE-MARINGA,4,1,,,6,4,4,,classificatoria,returno,71,0
4,5,4,5,,ISABELA PAQUIARDI,BRASÍLIA VÔLEI,UNILIFE-MARINGA x BRASÍLIA VÔLEI,UNILIFE-MARINGA,,1,16,2,11,4,5,,classificatoria,returno,71,0
*,*,*,*,,JULIANA PAES (L),BRASÍLIA VÔLEI,UNILIFE-MARINGA x BRASÍLIA VÔLEI,UNILIFE-MARINGA,,,30,1,,,,,classificatoria,returno,71,0
,*,*,,,GABRIELA LIMA CORDAL SASSO,CURITIBA VÔLEI,CURITIBA VÔLEI x BARUERI VOLLEYBALL CLUB,BARUERI VOLLEYBALL CLUB,,,,,,,,,classificatoria,returno,72,0
5,5,5,,,TAMARA ABILA PAULA,CURITIBA VÔLEI,CURITIBA VÔLEI x BARUERI VOLLEYBALL CLUB,BARUERI VOLLEYBALL CLUB,2,,22,1,9,2,7,1,classificatoria,returno,72,0
2,*,,,,IZADORA STEDILE,CURITIBA VÔLEI,CURITIBA VÔLEI x BARUERI VOLLEYBALL CLUB,BARUERI VOLLEYBALL CLUB,2,,11,1,,2,,,classificatoria,returno,72,0
6,6,6,,,VALESKA SANTOS MENEZES,CURITIBA VÔLEI,CURITIBA VÔLEI x BARUERI VOLLEYBALL CLUB,BARUERI VOLLEYBALL CLUB,2,,,,7,,,,classificatoria,returno,72,0
,*,4,,,GABRIELLA ALEXANDRA GUEDES,CURITIBA VÔLEI,CURITIBA VÔLEI x BARUERI VOLLEYBALL CLUB,BARUERI VOLLEYBALL CLUB,1,,,,,,,,classificatoria,returno,72,0
*,2,2,,,NELMAIRA CAROLINA VALDEZ,CURITIBA VÔLEI,CURITIBA VÔLEI x BARUERI VOLLEYBALL CLUB,BARUERI VOLLEYBALL CLUB,,2,13,1,13,2,3,1,classificatoria,returno,72,0
1,1,1,,,CALI TORI THOMPSON,CURITIBA VÔLEI,CURITIBA VÔLEI x BARUERI VOLLEYBALL CLUB,BARUERI VOLLEYBALL CLUB,1,,,,,,,,classificatoria,returno,72,0
3,3,3,,,MELISSA RANGEL PAEZ,CURITIBA VÔLEI,CURITIBA VÔLEI x BARUERI VOLLEYBALL CLUB,BARUERI VOLLEYBALL CLUB,1,,1,,4,1,3,2,classificatoria,returno,72,0
4,4,*,,,RAFAELA BERNARDES PATALLO,CURITIBA VÔLEI,CURITIBA VÔLEI x BARUERI VOLLEYBALL CLUB,BARUERI VOLLEYBALL CLUB,2,,8,1,2,3,1,,classificatoria,returno,72,0
*,*,*,,,TASSIA STHAEL (L),CURITIBA VÔLEI,CURITIBA VÔLEI x BARUERI VOLLEYBALL CLUB,BARUERI VOLLEYBALL CLUB,,,12,,,,,,classificatoria,returno,72,0
*,*,*,,,LIMA VIVIAN,BARUERI VOLLEYBALL CLUB,CURITIBA VÔLEI x BARUERI VOLLEYBALL CLUB,BARUERI VOLLEYBALL CLUB,1,1,1,,,,,,classificatoria,returno,72,0
3,3,2,,,DIANA DUARTE,BARUERI VOLLEYBALL CLUB,CURITIBA VÔLEI x BARUERI VOLLEYBALL CLUB,BARUERI VOLLEYBALL CLUB,2,,,,3,,1,4,classificatoria,returno,72,0
5,5,4,,,GLAYCE VASCONCELOS,BARUERI VOLLEYBALL CLUB,CURITIBA VÔLEI x BARUERI VOLLEYBALL CLUB,BARUERI VOLLEYBALL CLUB,2,,,,7,2,,1,classificatoria,returno,72,0
4,4,3,,,LORRAYNA MARYS DA SILVA,BARUERI VOLLEYBALL CLUB,CURITIBA VÔLEI x BARUERI VOLLEYBALL CLUB,BARUERI VOLLEYBALL CLUB,2,,,,13,3,2,2,classificatoria,returno,72,0
6,6,5,,,LORENA VIEZEL,BARUERI VOLLEYBALL CLUB,CURITIBA VÔLEI x BARUERI VOLLEYBALL CLUB,BARUERI VOLLEYBALL CLUB,,,,,4,,,4,classificatoria,returno,72,0
2,2,1,,,KARINA BARBOSA,BARUERI VOLLEYBALL CLUB,CURITIBA VÔLEI x BARUERI VOLLEYBALL CLUB,BARUERI VOLLEYBALL CLUB,1,1,22,2,10,4,1,2,classificatoria,returno,72,0
1,1,6,,,JACKELINE SANTOS,BARUERI VOLLEYBALL CLUB,CURITIBA VÔLEI x BARUERI VOLLEYBALL CLUB,BARUERI VOLLEYBALL CLUB,1,1,,,,,,1,classificatoria,returno,72,0
*,*,*,,,LAIS ZURLY VASQUES (L),BARUERI VOLLEYBALL CLUB,CURITIBA VÔLEI x BARUERI VOLLEYBALL CLUB,BARUERI VOLLEYBALL CLUB,,,29,,,,,,classificatoria,returno,72,1
*,*,,,,PAULINA  DE SOUZA (L),BARUERI VOLLEYBALL CLUB,CURITIBA VÔLEI x BARUERI VOLLEYBALL CLUB,BARUERI VOLLEYBALL CLUB,,1,1,,,,,,classificatoria,returno,72,0
*,*,*,,,KAROLINE TORMENA,BARUERI VOLLEYBALL CLUB,CURITIBA VÔLEI x BARUERI VOLLEYBALL CLUB,BARUERI VOLLEYBALL CLUB,,,,,,,,,classificatoria,returno,72,0
,,*,,,GABRIELA SOUZA,BARUERI VOLLEYBALL CLUB,CURITIBA VÔLEI x BARUERI VOLLEYBALL CLUB,BARUERI VOLLEYBALL CLUB,,,,,1,,,,classificatoria,returno,72,0
6,6,6,6,,FABIANA CLAUDINO,OSASCO SÃO CRISTOVÃO SAÚDE,OSASCO SÃO CRISTOVÃO SAUDE x SESC RJ FLAMENGO,OSASCO SÃO CRISTOVÃO SAUDE,2,,,,4,,1,7,classificatoria,returno,73,0
,,,*,,KEYLA RAMALHO,OSASCO SÃO CRISTOVÃO SAÚDE,OSASCO SÃO CRISTOVÃO SAUDE x SESC RJ FLAMENGO,OSASCO SÃO CRISTOVÃO SAUDE,,,,,,,,,classificatoria,returno,73,0
3,3,3,3,,RACHAEL ADAMS,OSASCO SÃO CRISTOVÃO SAÚDE,OSASCO SÃO CRISTOVÃO SAUDE x SESC RJ FLAMENGO,OSASCO SÃO CRISTOVÃO SAUDE,3,1,,,8,3,1,6,classificatoria,returno,73,0
*,*,,*,,SILVANA PAPINI,OSASCO SÃO CRISTOVÃO SAÚDE,OSASCO SÃO CRISTOVÃO SAUDE x SESC RJ FLAMENGO,OSASCO SÃO CRISTOVÃO SAUDE,,,2,,,,,,classificatoria,returno,73,0
4,4,*,,,TIFANNY ABREU,OSASCO SÃO CRISTOVÃO SAÚDE,OSASCO SÃO CRISTOVÃO SAUDE x SESC RJ FLAMENGO,OSASCO SÃO CRISTOVÃO SAUDE,1,,,,3,2,3,,classificatoria,returno,73,0
5,5,5,5,,MICHELLE PAVAO,OSASCO SÃO CRISTOVÃO SAÚDE,OSASCO SÃO CRISTOVÃO SAUDE x SESC RJ FLAMENGO,OSASCO SÃO CRISTOVÃO SAUDE,,3,23,1,7,1,4,1,classificatoria,returno,73,0
*,,,,,JOYCYNHA SILVA,OSASCO SÃO CRISTOVÃO SAÚDE,OSASCO SÃO CRISTOVÃO SAUDE x SESC RJ FLAMENGO,OSASCO SÃO CRISTOVÃO SAUDE,,,,,,,,,classificatoria,returno,73,0
*,*,1,1,,KENYA MALACHIAS,OSASCO SÃO CRISTOVÃO SAÚDE,OSASCO SÃO CRISTOVÃO SAUDE x SESC RJ FLAMENGO,OSASCO SÃO CRISTOVÃO SAUDE,,1,,,2,,,1,classificatoria,returno,73,0
1,1,,,,JOSEFA FABIOLA,OSASCO SÃO CRISTOVÃO SAÚDE,OSASCO SÃO CRISTOVÃO SAUDE x SESC RJ FLAMENGO,OSASCO SÃO CRISTOVÃO SAUDE,,,,,,,,,classificatoria,returno,73,0
,*,4,4,,CEREN KAPUCU,OSASCO SÃO CRISTOVÃO SAÚDE,OSASCO SÃO CRISTOVÃO SAUDE x SESC RJ FLAMENGO,OSASCO SÃO CRISTOVÃO SAUDE,,1,,,15,2,3,5,classificatoria,returno,73,1
*,*,*,*,,CAMILA BRAIT (L),OSASCO SÃO CRISTOVÃO SAÚDE,OSASCO SÃO CRISTOVÃO SAUDE x SESC RJ FLAMENGO,OSASCO SÃO CRISTOVÃO SAUDE,,,10,1,,,,,classificatoria,returno,73,0
2,2,2,2,,CARLA SANTOS,OSASCO SÃO CRISTOVÃO SAÚDE,OSASCO SÃO CRISTOVÃO SAUDE x SESC RJ FLAMENGO,OSASCO SÃO CRISTOVÃO SAUDE,4,1,43,,11,1,1,,classificatoria,returno,73,0
6,6,6,,,MILKA SILVA,SESC RJ FLAMENGO,OSASCO SÃO CRISTOVÃO SAUDE x SESC RJ FLAMENGO,OSASCO SÃO CRISTOVÃO SAUDE,,,,,6,,1,1,classificatoria,returno,73,0
*,*,*,*,,NATALIA ARAUJO (L),SESC RJ FLAMENGO,OSASCO SÃO CRISTOVÃO SAUDE x SESC RJ FLAMENGO,OSASCO SÃO CRISTOVÃO SAUDE,,,26,1,,,,,classificatoria,returno,73,0
,*,,*,,JUMA SILVA,SESC RJ FLAMENGO,OSASCO SÃO CRISTOVÃO SAUDE x SESC RJ FLAMENGO,OSASCO SÃO CRISTOVÃO SAUDE,,,,,,,,,classificatoria,returno,73,0
5,5,5,2,,MAIRA CIPRIANO,SESC RJ FLAMENGO,OSASCO SÃO CRISTOVÃO SAUDE x SESC RJ FLAMENGO,OSASCO SÃO CRISTOVÃO SAUDE,,,22,4,3,1,2,2,classificatoria,returno,73,0
,,*,6,,JUCIELY SILVA,SESC RJ FLAMENGO,OSASCO SÃO CRISTOVÃO SAUDE x SESC RJ FLAMENGO,OSASCO SÃO CRISTOVÃO SAUDE,1,,,,4,1,1,1,classificatoria,returno,73,0
,*,,*,,SABRINA MACHADO,SESC RJ FLAMENGO,OSASCO SÃO CRISTOVÃO SAUDE x SESC RJ FLAMENGO,OSASCO SÃO CRISTOVÃO SAUDE,,,,,1,,1,,classificatoria,returno,73,0
3,3,3,3,,VALQUIRIA DULLIUS,SESC RJ FLAMENGO,OSASCO SÃO CRISTOVÃO SAUDE x SESC RJ FLAMENGO,OSASCO SÃO CRISTOVÃO SAUDE,1,,,,9,,1,7,classificatoria,returno,73,0
*,*,,5,,GABRIELLA GUIMARAES,SESC RJ FLAMENGO,OSASCO SÃO CRISTOVÃO SAUDE x SESC RJ FLAMENGO,OSASCO SÃO CRISTOVÃO SAUDE,,,11,,,,1,,classificatoria,returno,73,0
4,4,4,*,,MONIQUE PAVAO,SESC RJ FLAMENGO,OSASCO SÃO CRISTOVÃO SAUDE x SESC RJ FLAMENGO,OSASCO SÃO CRISTOVÃO SAUDE,,,1,,5,2,7,1,classificatoria,returno,73,0
2,2,2,4,,YONKAIRA PENA,SESC RJ FLAMENGO,OSASCO SÃO CRISTOVÃO SAUDE x SESC RJ FLAMENGO,OSASCO SÃO CRISTOVÃO SAUDE,2,,26,1,11,6,6,1,classificatoria,returno,73,0
1,1,1,1,,GIOVANA GASPARINI,SESC RJ FLAMENGO,OSASCO SÃO CRISTOVÃO SAUDE x SESC RJ FLAMENGO,OSASCO SÃO CRISTOVÃO SAUDE,2,2,1,1,1,,,,classificatoria,returno,73,0
2,1,2,1,6,ANA CRISTINA,BRASÍLIA VÔLEI,BRASÍLIA VÔLEI x FLUMINENSE,FLUMINENSE,,,,,1,,,,classificatoria,returno,74,0
3,2,3,*,*,NATALIA MONTEIRO,BRASÍLIA VÔLEI,BRASÍLIA VÔLEI x FLUMINENSE,FLUMINENSE,,,23,2,7,2,2,,classificatoria,returno,74,0
,*,*,,*,MAYNARA DEVESA,BRASÍLIA VÔLEI,BRASÍLIA VÔLEI x FLUMINENSE,FLUMINENSE,,,,,,,,,classificatoria,returno,74,0
1,6,1,6,5,ALINE CRISTINA,BRASÍLIA VÔLEI,BRASÍLIA VÔLEI x FLUMINENSE,FLUMINENSE,,2,,,15,,2,1,classificatoria,returno,74,0
,*,*,2,1,ANA CAROLINE,BRASÍLIA VÔLEI,BRASÍLIA VÔLEI x FLUMINENSE,FLUMINENSE,3,,18,1,4,,2,,classificatoria,returno,74,0
5,4,5,4,3,ARIANNE TOLENTINO,BRASÍLIA VÔLEI,BRASÍLIA VÔLEI x FLUMINENSE,FLUMINENSE,,,,,23,7,6,,classificatoria,returno,74,0
4,3,4,3,2,EDNA SCHLINDWEIN,BRASÍLIA VÔLEI,BRASÍLIA VÔLEI x FLUMINENSE,FLUMINENSE,1,,1,1,9,1,4,4,classificatoria,returno,74,0
,,*,*,,GEOVANA FREITAS,BRASÍLIA VÔLEI,BRASÍLIA VÔLEI x FLUMINENSE,FLUMINENSE,,,,,1,1,,,classificatoria,returno,74,0
*,*,*,*,*,VITORIA TRINDADE (L),BRASÍLIA VÔLEI,BRASÍLIA VÔLEI x FLUMINENSE,FLUMINENSE,,,30,,,,,,classificatoria,returno,74,0
*,*,*,*,*,THAYANE MASCARENHAS,BRASÍLIA VÔLEI,BRASÍLIA VÔLEI x FLUMINENSE,FLUMINENSE,,,,,,,,,classificatoria,returno,74,0
6,5,6,5,4,ISABELA PAQUIARDI,BRASÍLIA VÔLEI,BRASÍLIA VÔLEI x FLUMINENSE,FLUMINENSE,,,24,1,9,7,4,,classificatoria,returno,74,0
3,4,3,4,3,LARA NOBRE,FLUMINENSE,BRASÍLIA VÔLEI x FLUMINENSE,FLUMINENSE,,,,,6,1,,7,classificatoria,returno,74,0
1,2,1,2,1,BRUNA COSTA,FLUMINENSE,BRASÍLIA VÔLEI x FLUMINENSE,FLUMINENSE,2,1,,,,,,1,classificatoria,returno,74,0
*,*,*,*,*,FRANCINE TOMAZONI,FLUMINENSE,BRASÍLIA VÔLEI x FLUMINENSE,FLUMINENSE,2,,,,,,,,classificatoria,returno,74,0
2,3,2,3,2,GABRIELA CANDIDO,FLUMINENSE,BRASÍLIA VÔLEI x FLUMINENSE,FLUMINENSE,3,,15,,13,,,2,classificatoria,returno,74,0
6,1,6,1,6,LAYS FERNANDA FREITAS,FLUMINENSE,BRASÍLIA VÔLEI x FLUMINENSE,FLUMINENSE,,,,,7,,,7,classificatoria,returno,74,0
*,*,*,*,*,JADA BURSE,FLUMINENSE,BRASÍLIA VÔLEI x FLUMINENSE,FLUMINENSE,,,,,5,1,,,classificatoria,returno,74,0
5,,,,,MAYARA BARCELOS,FLUMINENSE,BRASÍLIA VÔLEI x FLUMINENSE,FLUMINENSE,,,3,1,1,1,,,classificatoria,returno,74,0
*,6,5,6,5,PAULA MOHR,FLUMINENSE,BRASÍLIA VÔLEI x FLUMINENSE,FLUMINENSE,,,32,3,14,3,2,2,classificatoria,returno,74,1
4,5,4,5,4,KIMBERLY GOMES,FLUMINENSE,BRASÍLIA VÔLEI x FLUMINENSE,FLUMINENSE,1,,,,12,6,3,1,classificatoria,returno,74,0
*,*,*,*,*,STEFANIE TARRAGA (L),FLUMINENSE,BRASÍLIA VÔLEI x FLUMINENSE,FLUMINENSE,,,43,1,,,,,classificatoria,returno,74,0
2,1,6,,,MARA LEÃO,SESI VOLEI BAURU,SESI VOLEI BAURU x DENTIL PRAIA CLUBE,DENTIL PRAIA CLUBE,,,,,2,,,,classificatoria,returno,75,0
3,2,1,,,DANIELLE LINS,SESI VOLEI BAURU,SESI VOLEI BAURU x DENTIL PRAIA CLUBE,DENTIL PRAIA CLUBE,,,,,,,1,,classificatoria,returno,75,0
4,3,,,,SUELLE OLIVEIRA,SESI VOLEI BAURU,SESI VOLEI BAURU x DENTIL PRAIA CLUBE,DENTIL PRAIA CLUBE,,,7,1,2,,3,,classificatoria,returno,75,0
,*,,,,ADENIZIA FERREIRA,SESI VOLEI BAURU,SESI VOLEI BAURU x DENTIL PRAIA CLUBE,DENTIL PRAIA CLUBE,,,,,,,,,classificatoria,returno,75,0
*,*,*,,,NYEME NUNES (L),SESI VOLEI BAURU,SESI VOLEI BAURU x DENTIL PRAIA CLUBE,DENTIL PRAIA CLUBE,,,11,1,,,,,classificatoria,returno,75,0
,,*,,,LETICIA LINHARES,SESI VOLEI BAURU,SESI VOLEI BAURU x DENTIL PRAIA CLUBE,DENTIL PRAIA CLUBE,1,,,,,,,,classificatoria,returno,75,0
,,*,,,MAYHARA SILVA,SESI VOLEI BAURU,SESI VOLEI BAURU x DENTIL PRAIA CLUBE,DENTIL PRAIA CLUBE,,,1,,2,,,,classificatoria,returno,75,0
,,*,,,LETICIA GOMES (L),SESI VOLEI BAURU,SESI VOLEI BAURU x DENTIL PRAIA CLUBE,DENTIL PRAIA CLUBE,,,,,,,,,classificatoria,returno,75,0
,*,5,,,SABRINA GROTH,SESI VOLEI BAURU,SESI VOLEI BAURU x DENTIL PRAIA CLUBE,DENTIL PRAIA CLUBE,,,15,,4,1,,,classificatoria,returno,75,0
6,5,4,,,NIA REED,SESI VOLEI BAURU,SESI VOLEI BAURU x DENTIL PRAIA CLUBE,DENTIL PRAIA CLUBE,1,1,,,9,1,1,,classificatoria,returno,75,0
,*,2,,,DRUSSYLA COSTA,SESI VOLEI BAURU,SESI VOLEI BAURU x DENTIL PRAIA CLUBE,DENTIL PRAIA CLUBE,,,12,,5,2,2,,classificatoria,returno,75,0
5,4,3,,,MAYANY SOUZA,SESI VOLEI BAURU,SESI VOLEI BAURU x DENTIL PRAIA CLUBE,DENTIL PRAIA CLUBE,1,,1,,6,,1,1,classificatoria,returno,75,0
1,6,,,,THAISINHA SOUZA,SESI VOLEI BAURU,SESI VOLEI BAURU x DENTIL PRAIA CLUBE,DENTIL PRAIA CLUBE,,,16,1,,1,2,,classificatoria,returno,75,0
4,4,4,,,BRAYELIN MARTINEZ,DENTIL PRAIA CLUBE,SESI VOLEI BAURU x DENTIL PRAIA CLUBE,DENTIL PRAIA CLUBE,2,,,,15,1,,,classificatoria,returno,75,0
6,6,6,,,JINEIRY MARTINEZ,DENTIL PRAIA CLUBE,SESI VOLEI BAURU x DENTIL PRAIA CLUBE,DENTIL PRAIA CLUBE,1,,,,5,,1,2,classificatoria,returno,75,0
1,1,1,,,CLAUDIA BUENO,DENTIL PRAIA CLUBE,SESI VOLEI BAURU x DENTIL PRAIA CLUBE,DENTIL PRAIA CLUBE,2,1,,,2,,,,classificatoria,returno,75,0
*,,*,,,JORDANE TOLENTINO,DENTIL PRAIA CLUBE,SESI VOLEI BAURU x DENTIL PRAIA CLUBE,DENTIL PRAIA CLUBE,1,,,,,,,,classificatoria,returno,75,0
2,2,2,,,ANNE ELISE BUIJS,DENTIL PRAIA CLUBE,SESI VOLEI BAURU x DENTIL PRAIA CLUBE,DENTIL PRAIA CLUBE,1,1,22,,14,1,,1,classificatoria,returno,75,0
,*,,,,ARIANE PINTO,DENTIL PRAIA CLUBE,SESI VOLEI BAURU x DENTIL PRAIA CLUBE,DENTIL PRAIA CLUBE,,,,,1,,,,classificatoria,returno,75,0
5,5,5,,,KASIELY CLEMENTE,DENTIL PRAIA CLUBE,SESI VOLEI BAURU x DENTIL PRAIA CLUBE,DENTIL PRAIA CLUBE,2,,12,,6,1,,1,classificatoria,returno,75,0
*,*,*,,,JULIANA PERDIGAO (L),DENTIL PRAIA CLUBE,SESI VOLEI BAURU x DENTIL PRAIA CLUBE,DENTIL PRAIA CLUBE,,,17,1,,,,,classificatoria,returno,75,0
3,3,3,,,ANA CAROLINA SILVA,DENTIL PRAIA CLUBE,SESI VOLEI BAURU x DENTIL PRAIA CLUBE,DENTIL PRAIA CLUBE,1,1,,,8,2,,6,classificatoria,returno,75,1
,*,,,,LYARA BATISTA,DENTIL PRAIA CLUBE,SESI VOLEI BAURU x DENTIL PRAIA CLUBE,DENTIL PRAIA CLUBE,,,,,,,,,classificatoria,returno,75,0
,*,*,,,ROSELY NOGUEIRA,ESPORTE CLUBE PINHEIROS,ESPORTE CLUBE PINHEIROS x CURITIBA VÔLEI,ESPORTE CLUBE PINHEIROS,,,,,,,,,classificatoria,returno,76,0
,*,*,,,CAROLINA GROSSI,ESPORTE CLUBE PINHEIROS,ESPORTE CLUBE PINHEIROS x CURITIBA VÔLEI,ESPORTE CLUBE PINHEIROS,,,,,1,,,,classificatoria,returno,76,0
1,2,1,,,CAROLINA LEITE,ESPORTE CLUBE PINHEIROS,ESPORTE CLUBE PINHEIROS x CURITIBA VÔLEI,ESPORTE CLUBE PINHEIROS,2,,,,1,,,,classificatoria,returno,76,0
4,5,4,,,EDINARA BRANCHER,ESPORTE CLUBE PINHEIROS,ESPORTE CLUBE PINHEIROS x CURITIBA VÔLEI,ESPORTE CLUBE PINHEIROS,,,,,10,1,2,1,classificatoria,returno,76,0
3,4,3,,,GABRIELA MARTINS,ESPORTE CLUBE PINHEIROS,ESPORTE CLUBE PINHEIROS x CURITIBA VÔLEI,ESPORTE CLUBE PINHEIROS,1,,2,,6,,,3,classificatoria,returno,76,0
6,1,6,,,DANIELE OLIVEIRA,ESPORTE CLUBE PINHEIROS,ESPORTE CLUBE PINHEIROS x CURITIBA VÔLEI,ESPORTE CLUBE PINHEIROS,1,1,1,,3,1,,2,classificatoria,returno,76,0
2,3,2,,,TALIA COSTA,ESPORTE CLUBE PINHEIROS,ESPORTE CLUBE PINHEIROS x CURITIBA VÔLEI,ESPORTE CLUBE PINHEIROS,2,1,20,1,9,2,3,,classificatoria,returno,76,0
*,*,*,,,ERICA MOTTA LIMA (L),ESPORTE CLUBE PINHEIROS,ESPORTE CLUBE PINHEIROS x CURITIBA VÔLEI,ESPORTE CLUBE PINHEIROS,,,16,,,,,,classificatoria,returno,76,1
5,6,5,,,SONALY CIDRÃO,ESPORTE CLUBE PINHEIROS,ESPORTE CLUBE PINHEIROS x CURITIBA VÔLEI,ESPORTE CLUBE PINHEIROS,1,,14,,12,5,2,1,classificatoria,returno,76,0
*,*,*,,,VITORIA PARISE (L),ESPORTE CLUBE PINHEIROS,ESPORTE CLUBE PINHEIROS x CURITIBA VÔLEI,ESPORTE CLUBE PINHEIROS,,,,,,,,,classificatoria,returno,76,0
,3,,,,BEATRIZ FERNANDES DOS SANTOS,CURITIBA VÔLEI,ESPORTE CLUBE PINHEIROS x CURITIBA VÔLEI,ESPORTE CLUBE PINHEIROS,1,,1,1,,,,,classificatoria,returno,76,0
*,*,,,,GABRIELA LIMA CORDAL SASSO,CURITIBA VÔLEI,ESPORTE CLUBE PINHEIROS x CURITIBA VÔLEI,ESPORTE CLUBE PINHEIROS,1,,,,,,,,classificatoria,returno,76,0
3,*,*,,,TAMARA ABILA PAULA,CURITIBA VÔLEI,ESPORTE CLUBE PINHEIROS x CURITIBA VÔLEI,ESPORTE CLUBE PINHEIROS,1,,4,,1,1,2,,classificatoria,returno,76,0
*,2,2,,,IZADORA STEDILE,CURITIBA VÔLEI,ESPORTE CLUBE PINHEIROS x CURITIBA VÔLEI,ESPORTE CLUBE PINHEIROS,3,1,16,,11,3,1,,classificatoria,returno,76,0
1,6,3,,,VALESKA SANTOS MENEZES,CURITIBA VÔLEI,ESPORTE CLUBE PINHEIROS x CURITIBA VÔLEI,ESPORTE CLUBE PINHEIROS,1,,,,2,1,,3,classificatoria,returno,76,0
*,*,,,,GABRIELLA ALEXANDRA GUEDES,CURITIBA VÔLEI,ESPORTE CLUBE PINHEIROS x CURITIBA VÔLEI,ESPORTE CLUBE PINHEIROS,,,,,3,,,,classificatoria,returno,76,0
5,4,4,,,NELMAIRA CAROLINA VALDEZ,CURITIBA VÔLEI,ESPORTE CLUBE PINHEIROS x CURITIBA VÔLEI,ESPORTE CLUBE PINHEIROS,1,,1,,14,2,3,2,classificatoria,returno,76,0
2,1,1,,,CALI TORI THOMPSON,CURITIBA VÔLEI,ESPORTE CLUBE PINHEIROS x CURITIBA VÔLEI,ESPORTE CLUBE PINHEIROS,1,,,,1,,,,classificatoria,returno,76,0
4,*,6,,,MELISSA RANGEL PAEZ,CURITIBA VÔLEI,ESPORTE CLUBE PINHEIROS x CURITIBA VÔLEI,ESPORTE CLUBE PINHEIROS,2,,1,,2,,,2,classificatoria,returno,76,0
6,5,5,,,RAFAELA BERNARDES PATALLO,CURITIBA VÔLEI,ESPORTE CLUBE PINHEIROS x CURITIBA VÔLEI,ESPORTE CLUBE PINHEIROS,,,27,1,5,3,1,,classificatoria,returno,76,0
*,*,*,,,TASSIA STHAEL (L),CURITIBA VÔLEI,ESPORTE CLUBE PINHEIROS x CURITIBA VÔLEI,ESPORTE CLUBE PINHEIROS,,,19,,,,,,classificatoria,returno,76,0
5,5,5,,,CAROL GATTAZ,ITAMBÉ MINAS,ITAMBÉ MINAS x UNILIFE-MARINGA,ITAMBÉ MINAS,1,1,1,,7,,1,,classificatoria,returno,78,0
6,6,*,,,MACRIS  CARNEIRO,ITAMBÉ MINAS,ITAMBÉ MINAS x UNILIFE-MARINGA,ITAMBÉ MINAS,,2,,,,,,,classificatoria,returno,78,0
1,1,1,,,PRISCILA DAROIT,ITAMBÉ MINAS,ITAMBÉ MINAS x UNILIFE-MARINGA,ITAMBÉ MINAS,1,,16,,5,2,2,,classificatoria,returno,78,0
2,2,2,,,JULIA KUDIESS,ITAMBÉ MINAS,ITAMBÉ MINAS x UNILIFE-MARINGA,ITAMBÉ MINAS,2,2,,,1,1,1,6,classificatoria,returno,78,1
,*,*,,,KISY CESARIO,ITAMBÉ MINAS,ITAMBÉ MINAS x UNILIFE-MARINGA,ITAMBÉ MINAS,,,,,1,,,,classificatoria,returno,78,0
,*,6,,,PRISCILA  HELDES,ITAMBÉ MINAS,ITAMBÉ MINAS x UNILIFE-MARINGA,ITAMBÉ MINAS,,,,,,,,1,classificatoria,returno,78,0
4,4,,,,NERIMAN OZSOY,ITAMBÉ MINAS,ITAMBÉ MINAS x UNILIFE-MARINGA,ITAMBÉ MINAS,,,9,1,10,2,,,classificatoria,returno,78,0
,*,4,,,PRISCILA SOUZA,ITAMBÉ MINAS,ITAMBÉ MINAS x UNILIFE-MARINGA,ITAMBÉ MINAS,,,8,,3,,,1,classificatoria,returno,78,0
*,*,*,,,LEIA  SILVA (L),ITAMBÉ MINAS,ITAMBÉ MINAS x UNILIFE-MARINGA,ITAMBÉ MINAS,,,12,,,,,,classificatoria,returno,78,0
3,3,3,,,DANIELLE CUTTINO,ITAMBÉ MINAS,ITAMBÉ MINAS x UNILIFE-MARINGA,ITAMBÉ MINAS,1,1,,,9,2,1,2,classificatoria,returno,78,0
*,5,,,,TANIELLY STORCH,UNILIFE-MARINGA,ITAMBÉ MINAS x UNILIFE-MARINGA,ITAMBÉ MINAS,1,,13,1,,1,,,classificatoria,returno,78,0
4,*,1,,,NATALIA DANIELSKI,UNILIFE-MARINGA,ITAMBÉ MINAS x UNILIFE-MARINGA,ITAMBÉ MINAS,2,,16,3,4,1,1,,classificatoria,returno,78,0
3,4,6,,,LAIZA FERREIRA,UNILIFE-MARINGA,ITAMBÉ MINAS x UNILIFE-MARINGA,ITAMBÉ MINAS,2,,,,14,2,1,,classificatoria,returno,78,0
5,3,5,,,CAMILA LEITE,UNILIFE-MARINGA,ITAMBÉ MINAS x UNILIFE-MARINGA,ITAMBÉ MINAS,1,,,,7,,1,3,classificatoria,returno,78,0
*,*,,,,FRANCIANE RICHTER,UNILIFE-MARINGA,ITAMBÉ MINAS x UNILIFE-MARINGA,ITAMBÉ MINAS,1,,,,1,1,1,,classificatoria,returno,78,0
